Phase,Task Number,Title,Description,Labels,Size,Priority,Component,Estimated Hours,Dependencies
"Phase 1: Foundation & Setup","#1","Setup Monorepo Structure","Create root package.json with npm workspaces. Initialize apps/web (Next.js), apps/api (Python with uv), services/ingest (Python with uv). Create packages/shared for types. Setup .gitignore and .env.example files","infrastructure,setup",M,P0,Infrastructure,12,None
"Phase 1: Foundation & Setup","#2","Docker Compose - Core Services","PostgreSQL 16 container with persistent volume. Redis 7 container with persistence config. MinIO container with bucket setup. Qdrant container with persistent storage. Create docker-compose.yml and docker-compose.dev.yml. Document connection strings and ports","infrastructure,docker",L,P0,Infrastructure,20,#1
"Phase 1: Foundation & Setup","#3","Install and Configure Ollama","Install Ollama on development machines. Pull llama2:7b model. Pull mistral:7b model. Test basic inference with both models. Document model selection rationale. Create troubleshooting guide","ai,setup",M,P1,AI/ML,10,None
"Phase 1: Foundation & Setup","#4","PostgreSQL Schema Design","Design ERD for all entities. Define relationships (User, Application, Document, Token). Plan indexes for multi-tenancy. Document isolation strategy. Review with team","database,architecture",M,P0,Database,12,#2
"Phase 1: Foundation & Setup","#5","Setup CI/CD - Frontend","GitHub Actions workflow for apps/web. Lint check (ESLint). Type check (TypeScript). Build verification. Run on PR and main branch","devops,frontend",S,P1,DevOps,4,#1
"Phase 1: Foundation & Setup","#6","Setup CI/CD - Backend Services","GitHub Actions for apps/api. Python lint (ruff). Type check (mypy). Test execution (pytest). Similar workflow for services/ingest","devops,backend",S,P1,DevOps,5,#1
"Phase 1: Foundation & Setup","#7","Initialize Next.js 15 Project","Setup Next.js 15 with App Router. Configure TypeScript strict mode. Setup next.config.js. Configure path aliases (@/, @components, etc.). Create basic folder structure (app, components, lib)","frontend,setup",S,P0,Frontend,4,#1
"Phase 1: Foundation & Setup","#8","Setup Mantine 8","Install all Mantine packages. Configure MantineProvider. Setup PostCSS config. Create theme.ts with custom colors. Test basic components (Button, Text, Card). Setup Tabler Icons","frontend,ui",M,P0,Frontend,8,#7
"Phase 1: Foundation & Setup","#9","Configure TypeORM in Next.js","Install TypeORM and dependencies. Create DataSource configuration. Setup connection in API routes. Create utils/db.ts for connection management. Test database connection. Setup for multi-tenancy","frontend,database",M,P0,Frontend,10,#2,#7
"Phase 1: Foundation & Setup","#10","Create TypeORM Entities - User","User entity with decorators. Fields: id, email, password, role, createdAt. Add validation decorators. Create UserRepository. Write migration. Test CRUD operations","database,backend",S,P0,Database,4,#9
"Phase 1: Foundation & Setup","#11","Create TypeORM Entities - Application","Application entity with decorators. Fields: id, name, description, systemPrompt. ManyToMany relation with User. OneToMany relations (Documents, Tokens). Write migration. Test relationships","database,backend",M,P0,Database,8,#10
"Phase 1: Foundation & Setup","#12","Create TypeORM Entities - Document","Document entity with decorators. Fields: id, filename, status, applicationId, metadata. ManyToOne relation to Application. Status enum (PENDING, PROCESSING, INDEXED, FAILED). Write migration","database,backend",S,P0,Database,4,#11
"Phase 1: Foundation & Setup","#13","Create TypeORM Entities - Token","Token entity with decorators. Fields: id, tokenHash, applicationId, lastUsedAt. ManyToOne relation to Application. Expiration logic. Write migration","database,backend",S,P0,Database,4,#11
